r_naive,r_correct,theta
0.148491,0.654774,6.19893
0.225164,0.612228,0.433463
0.681868,0.698769,0.154535
0.109744,0.603549,3.94089
0.540898,0.679546,2.23346
0.494411,0.981362,1.54359
0.188314,0.981766,2.38644
0.956202,0.722945,2.08129
0.0532219,0.579319,5.46477
0.529722,0.457588,0.980785
0.891698,0.303266,0.701129
0.941989,0.908225,6.23838
0.387627,0.789718,1.78967
0.587888,0.496753,2.07791
0.497564,0.385283,2.59457
0.724517,0.536168,4.3809
0.0734177,0.693546,1.55751
0.799463,0.614893,0.546875
0.338092,0.884568,4.31321
0.0306005,0.349108,1.54325
0.222473,0.876165,2.09648
0.145689,0.853613,5.92315
0.483298,0.91638,0.890515
0.490282,0.933037,4.81793
0.856619,0.732589,2.82033
0.994131,0.792193,6.23213
0.983319,0.563864,1.8445
0.345009,0.288521,1.84816
0.853422,0.467329,2.60269
0.752403,0.515411,0.118116
0.715752,0.764633,1.82436
0.237069,0.608012,0.933511
0.521754,0.958487,3.17252
0.668878,0.448427,4.37692
0.836749,0.691954,1.77873
0.287947,0.984853,4.18053
0.615035,0.883481,1.15664
0.506789,0.315649,3.00459
0.420148,0.991518,6.27653
0.50143,0.670984,2.18964
0.145823,0.209861,4.12321
0.986389,0.894617,2.91997
0.92326,0.858397,5.81435
0.267139,0.266337,4.89414
0.396421,0.781122,5.04854
0.860176,0.953557,2.39433
0.41512,0.607918,2.40795
0.301627,0.585349,3.14161
0.961113,0.841625,6.05967
0.883744,0.656135,0.308157
0.311697,0.24709,2.10875
0.961994,0.595183,0.261828
0.350529,0.447593,2.60235
0.812958,0.63813,2.16374
0.255468,0.724041,6.21715
0.392156,0.949088,1.79896
0.30327,0.457585,3.39377
0.882536,0.570192,3.00804
0.119418,0.536833,5.72663
0.572977,0.93173,0.0234273
0.616857,0.691381,1.96827
0.981664,0.484631,1.8575
0.102395,0.904909,2.41912
0.142384,0.871372,1.15752
0.898776,0.89106,1.05905
0.203806,0.274868,1.02205
0.996192,0.809372,6.20052
0.204342,0.83969,2.21843
0.777073,0.736956,0.592776
0.871638,0.998883,4.91517
0.829625,0.642689,0.51357
0.248043,0.935623,5.02468
0.54298,0.695267,3.99892
0.249197,0.982695,2.98013
0.241292,0.5387,1.53396
0.36332,0.814703,0.170967
0.717064,0.843616,2.39419
0.409251,0.916091,3.65022
0.54022,0.720733,2.88998
0.766487,0.951476,3.16789
0.752035,0.353079,2.67889
0.77318,0.834285,6.0931
0.6681,0.889616,4.80851
0.933395,0.875489,4.21175
0.395946,0.616822,3.46032
0.97258,0.331325,0.114527
0.963127,0.874562,1.2914
0.764611,0.801394,0.754174
0.535185,0.898187,2.23954
0.441819,0.888184,1.15587
0.926415,0.741377,0.661201
0.200644,0.697976,2.05215
0.346158,0.964103,3.0339
0.25228,0.949936,5.72801
0.0128547,0.373269,2.58816
0.173401,0.282603,4.78765
0.482284,0.784946,5.17799
0.240638,0.894029,4.78186
0.56422,0.788021,5.34396
0.176584,0.500673,1.57955
0.32067,0.795335,5.42882
0.655733,0.781213,1.27938
0.972058,0.983989,5.32728
0.749538,0.841499,2.91001
0.293753,0.774925,4.13008
0.0515991,0.427619,6.20203
0.792106,0.868633,5.18416
0.572692,0.485491,3.22998
0.141111,0.560674,6.07309
0.672233,0.475154,4.96232
0.348432,0.757283,6.1441
0.157561,0.972982,1.55796
0.377246,0.750051,1.82147
0.576589,0.944296,2.98576
0.240408,0.518965,3.57734
0.793868,0.95213,3.07572
0.953535,0.909103,6.11063
0.925663,0.434619,4.13646
0.475323,0.953594,0.951485
0.410275,0.468535,0.297936
0.302828,0.947101,4.22657
0.170967,0.534175,6.0019
0.37908,0.55314,0.683814
0.631518,0.915314,0.936409
0.00774708,0.837245,1.85417
0.209663,0.181455,2.12605
0.672043,0.183677,5.78665
0.52605,0.567972,3.90941
0.871919,0.713547,4.57955
0.566119,0.527766,2.93313
0.549213,0.969981,3.23559
0.20296,0.684642,4.02608
0.305334,0.810019,2.20153
0.00744667,0.982384,3.8004
0.432569,0.838549,0.401665
0.0517468,0.984216,4.1958
0.474717,0.666192,3.28451
0.465929,0.920184,5.32894
0.937264,0.421992,5.73042
0.135026,0.536445,2.62098
0.122677,0.665937,4.57203
0.193402,0.718278,5.27271
0.205575,0.51771,2.69337
0.341229,0.58513,2.41759
0.603388,0.927228,1.88171
0.904156,0.52604,3.88618
0.197201,0.676023,5.78248
0.38993,0.539347,0.67577
0.00976371,0.803132,4.73664
0.343842,0.596928,3.35235
0.587596,0.972525,1.65459
0.328308,0.685359,1.72948
0.578589,0.17111,1.79044
0.289044,0.58852,0.810679
0.49609,0.754854,3.0147
0.0865604,0.847637,2.43449
0.597192,0.646586,0.391845
0.548931,0.948725,4.7087
0.403642,0.953299,0.818003
0.881749,0.83032,6.21728
0.200579,0.931375,4.56147
0.380072,0.588963,3.17885
0.334409,0.579429,4.16148
0.352889,0.426615,6.11975
0.675253,0.463581,3.08849
0.79322,0.91347,3.29619
0.356658,0.637853,2.74738
0.766938,0.60786,5.73172
0.619809,0.857149,2.83602
0.31438,0.714977,1.17565
0.733977,0.975066,3.49935
0.0546059,0.876879,0.443154
0.0526983,0.466239,2.30676
0.535622,0.514348,2.55615
0.249432,0.944025,0.559881
0.421726,0.666205,1.29758
0.617571,0.564976,0.168447
0.776398,0.612062,2.84338
0.321575,0.678374,2.01579
0.311524,0.533172,4.49328
0.953023,0.987117,5.25303
0.0682747,0.780091,5.11752
0.770311,0.62555,6.11815
0.318301,0.614672,3.44796
0.79487,0.410277,0.502227
0.558162,0.387096,5.76454
0.0810842,0.779234,2.82048
0.786471,0.560402,0.0378717
0.811671,0.984449,2.03198
0.725453,0.700057,2.75204
0.0266303,0.466359,3.2849
0.209313,0.4142,5.5806
0.451545,0.911155,2.14216
0.941946,0.847248,0.653262
0.188688,0.196558,4.22945
0.190425,0.313315,0.0521753
0.451282,0.332453,4.39551
0.824793,0.84764,1.34604
0.218426,0.250788,1.97572
0.647762,0.979011,3.28595
0.13461,0.774324,4.48916
0.562445,0.7599,0.627657
0.619298,0.921075,3.06135
0.269522,0.722626,3.22004
0.434675,0.848704,2.83714
0.846736,0.869532,0.545905
0.726885,0.965487,4.4798
0.189476,0.888427,4.44722
