n3,n4
0.57911,0.890147
0.875772,0.952697
0.437531,0.978773
0.596996,0.951274
0.798803,0.642309
0.336634,0.712303
0.930735,0.867586
0.873817,0.963417
0.987897,0.942785
0.838041,0.897641
0.744961,0.948959
0.907474,0.896456
0.825019,0.908912
0.919588,0.914296
0.776811,0.844078
0.969135,0.894608
0.383406,0.865795
0.649291,0.854434
0.910317,0.968085
0.96052,0.89175
0.712335,0.814669
0.67112,0.767907
0.346817,0.972766
0.870611,0.646849
0.71479,0.830589
0.903188,0.928893
0.940654,0.958254
0.800563,0.846478
0.9269,0.674965
0.850813,0.956705
0.70544,0.91994
0.915173,0.577715
0.880434,0.950719
0.874523,0.757138
0.528476,0.975814
0.730802,0.974568
0.676195,0.616776
0.846737,0.972406
0.741389,0.763362
0.755517,0.958477
0.712599,0.676087
0.661554,0.968833
0.557856,0.640116
0.625699,0.967298
0.781722,0.949138
0.967781,0.779179
0.579817,0.511956
0.814855,0.676297
0.271373,0.97662
0.821033,0.959279
0.772673,0.709655
0.872024,0.853473
0.789854,0.578602
0.848472,0.904199
0.600301,0.963736
0.966164,0.460624
0.929575,0.888688
0.818588,0.761283
0.953644,0.669785
0.566597,0.937088
0.914893,0.987516
0.918863,0.738951
0.775339,0.924202
0.796642,0.605464
0.927214,0.971835
0.683527,0.980526
0.836173,0.91698
0.956396,0.893731
0.367632,0.964143
0.863571,0.873645
0.732652,0.807414
0.998189,0.934378
0.97993,0.610906
0.937875,0.606647
0.634347,0.983577
0.665916,0.605695
0.816757,0.958472
0.951564,0.784959
0.531621,0.706461
0.688302,0.860835
0.761429,0.943865
0.821081,0.900039
0.760037,0.915683
0.930392,0.953323
0.950358,0.801268
0.961108,0.770718
0.789056,0.851496
0.693583,0.763223
0.702589,0.908075
0.744837,0.762663
0.664351,0.842335
0.939523,0.947439
0.966501,0.924899
0.897871,0.971824
0.658137,0.80894
0.153282,0.930131
0.961642,0.91523
0.650404,0.992195
0.975407,0.651023
0.994272,0.489902
0.954748,0.982201
0.432348,0.81733
0.717295,0.886777
0.921889,0.992077
0.775315,0.904854
0.771397,0.910445
0.957474,0.950743
0.936277,0.848203
0.901181,0.895416
0.528887,0.944501
0.906585,0.864382
0.877921,0.995584
0.794765,0.762665
0.864499,0.730676
0.783524,0.768379
0.922799,0.70152
0.792798,0.852285
0.835146,0.921647
0.968261,0.790668
0.850313,0.938338
0.288728,0.966876
0.989658,0.97852
0.81386,0.918449
0.997518,0.783059
0.826088,0.906957
0.558974,0.972482
0.928964,0.868907
0.832961,0.803343
0.677493,0.700015
0.6044,0.770098
0.682913,0.853051
0.905899,0.92038
0.884702,0.844487
0.71813,0.605828
0.962383,0.929024
0.350999,0.740674
0.903292,0.916853
0.969641,0.963424
0.976315,0.976934
0.60218,0.994881
0.798051,0.900459
0.81345,0.412298
0.490264,0.912085
0.860069,0.873289
0.836533,0.830792
0.959921,0.785442
0.630094,0.753802
0.738229,0.942662
0.734717,0.968668
0.352371,0.804956
0.899597,0.906377
0.468313,0.767985
0.92106,0.749408
0.422725,0.943168
0.992731,0.70367
0.989918,0.98212
0.734122,0.628342
0.896778,0.895626
0.724914,0.825208
0.839444,0.822071
0.543535,0.945453
0.652319,0.94652
0.926043,0.734441
0.973385,0.71577
0.527283,0.987595
0.356747,0.633704
0.84176,0.980073
0.938898,0.785056
0.951257,0.54552
0.656018,0.643445
0.845471,0.607246
0.912596,0.904847
0.803941,0.712042
0.972706,0.814796
0.835933,0.605306
0.966361,0.904939
0.898285,0.832525
0.891111,0.833231
0.825569,0.889986
0.828279,0.943896
0.961066,0.570307
0.680376,0.881059
0.693888,0.921513
0.871213,0.991906
0.665596,0.915035
0.682445,0.876668
0.738553,0.970314
0.592807,0.986783
0.981555,0.834192
0.738082,0.644671
0.909315,0.96177
0.592692,0.676158
0.947273,0.967507
0.875321,0.855319
0.978088,0.857188
0.907369,0.986922
0.719436,0.955119
0.890108,0.928572
0.972951,0.912481
0.895459,0.862768
0.999962,0.933449
0.801958,0.961836
0.898468,0.95295
0.934106,0.938151
0.783896,0.973093
0.892543,0.806412
0.916134,0.66596
0.746965,0.797389
0.739743,0.863433
0.647732,0.812451
0.904497,0.945219
0.949809,0.933688
0.799957,0.865785
0.96457,0.993477
0.748359,0.836792
0.98479,0.894221
0.400763,0.937725
0.989952,0.589279
0.859135,0.883576
0.808245,0.644332
0.777124,0.894265
0.572042,0.709392
0.739362,0.995756
0.718435,0.916177
0.822275,0.978582
0.863142,0.803815
0.486575,0.814045
0.87522,0.943319
0.951329,0.96199
0.717455,0.918727
0.632863,0.667569
0.71963,0.962994
0.751056,0.914679
0.981688,0.83901
0.774123,0.960378
0.805007,0.950785
0.573048,0.896947
0.872851,0.982352
0.954295,0.822258
0.861891,0.842494
0.726793,0.919313
0.648606,0.900292
0.947381,0.911863
0.763844,0.513165
0.472926,0.833774
0.988013,0.433064
0.91679,0.877102
0.843365,0.790465
0.56173,0.912081
0.692798,0.97455
0.843638,0.983771
0.887489,0.975297
0.964655,0.891081
0.554283,0.653324
0.758145,0.839073
0.909459,0.928217
0.819793,0.898455
0.793876,0.615011
0.711728,0.990612
0.838205,0.869989
0.820167,0.848026
0.801042,0.930864
0.888843,0.875358
0.915203,0.967253
0.887333,0.793847
0.997384,0.971643
0.99968,0.462794
0.772713,0.959634
0.808977,0.863964
0.766681,0.928885
0.850054,0.936439
0.65013,0.925889
0.330677,0.973299
0.901767,0.772408
0.985674,0.901397
0.813709,0.786145
0.935974,0.654781
0.798341,0.765162
0.764156,0.886771
0.868187,0.865182
0.956936,0.755822
0.808896,0.993028
0.857601,0.995396
0.848247,0.654085
0.955555,0.885546
0.68219,0.877038
0.809466,0.351255
0.854286,0.928744
0.973934,0.995031
0.894695,0.805232
0.723241,0.729025
0.565021,0.397172
0.847974,0.879845
0.994181,0.920092
0.382453,0.986999
0.662175,0.877153
0.918833,0.635795
0.89507,0.99833
0.944974,0.83243
0.92666,0.688975
0.747845,0.440966
0.909377,0.766841
0.908041,0.912623
0.675639,0.491921
0.845279,0.651506
0.883277,0.609802
0.60259,0.873325
0.978317,0.797547
0.977918,0.974024
0.803008,0.762989
0.936171,0.790032
0.848317,0.914619
0.791277,0.848757
0.973335,0.608077
0.552024,0.845408
0.887857,0.739908
0.458164,0.789932
0.698414,0.930036
0.990984,0.53207
0.908466,0.9201
0.69861,0.731871
0.944096,0.852226
0.750551,0.916067
0.8366,0.536977
0.968291,0.92412
0.857738,0.790231
0.717724,0.596055
0.646315,0.914123
0.966253,0.712389
0.949515,0.958408
0.823159,0.852234
0.537599,0.879324
0.746987,0.943537
0.938893,0.969999
0.799272,0.886285
0.973906,0.631745
0.86711,0.969715
0.990342,0.694293
0.938064,0.761057
0.947528,0.994226
0.581268,0.819719
0.905254,0.592532
0.737317,0.812907
0.7421,0.938012
0.50836,0.852399
0.56405,0.85182
0.922152,0.990124
0.37829,0.947958
0.79979,0.819175
0.951442,0.826592
0.894492,0.391945
0.804339,0.910441
0.919258,0.949596
0.795743,0.943232
0.954134,0.863041
0.905467,0.993048
0.941098,0.894009
0.792304,0.453987
0.972419,0.48248
0.624301,0.99313
0.865914,0.958034
0.764699,0.942836
0.920836,0.850062
0.925413,0.937457
0.318095,0.569248
0.568512,0.81745
0.78508,0.752352
0.676073,0.972904
0.73654,0.948398
0.760301,0.867053
0.97801,0.891243
0.119667,0.933903
0.981515,0.890166
0.964051,0.906647
0.942789,0.975427
0.749703,0.968649
0.94167,0.658
0.476593,0.658499
0.951812,0.740593
0.915449,0.935969
0.967593,0.96949
0.723273,0.936696
0.920999,0.737235
0.685931,0.94494
0.827246,0.909649
0.650356,0.525437
0.818134,0.946628
0.713845,0.967654
0.990835,0.852961
0.88352,0.933622
0.880353,0.864884
0.849512,0.710909
0.566678,0.910513
0.834014,0.171679
0.806631,0.870122
0.988084,0.963335
0.820535,0.9926
0.853912,0.956966
0.702496,0.677012
0.79472,0.939181
0.774075,0.32912
0.926586,0.670952
0.557887,0.835039
0.733108,0.781229
0.964346,0.563076
0.816019,0.796772
0.896652,0.882776
0.80137,0.747411
0.946066,0.883822
0.56496,0.886296
0.454682,0.907702
0.721755,0.963888
0.776807,0.999131
0.405101,0.969472
0.805403,0.986962
0.945417,0.813494
0.86963,0.672398
0.706109,0.891518
0.995209,0.898564
0.815177,0.979509
0.437776,0.967498
0.468996,0.866092
0.751714,0.990031
0.917562,0.988868
0.753161,0.89602
0.83103,0.905806
0.905135,0.83899
0.701722,0.530802
0.903643,0.885007
0.518352,0.780894
0.781596,0.993296
0.595489,0.985411
0.665618,0.987278
0.98689,0.809727
0.947213,0.726765
0.962267,0.7242
0.704854,0.556902
0.86325,0.588018
0.845217,0.897202
0.907863,0.932759
0.956648,0.5253
0.976802,0.736437
0.649439,0.813779
0.994555,0.96303
0.925555,0.990515
0.797124,0.757444
0.641244,0.699748
0.737556,0.622804
0.905393,0.959196
0.788518,0.904039
0.910185,0.807629
0.832557,0.964576
0.667514,0.993288
0.985422,0.850577
0.715761,0.820782
0.588814,0.691269
0.906128,0.511215
0.694635,0.94923
0.784262,0.995823
0.806842,0.955585
0.89667,0.913232
0.966688,0.959705
0.951176,0.90507
0.583255,0.795787
0.656057,0.976109
0.893034,0.85759
0.639521,0.904048
0.37845,0.743046
0.773104,0.592396
0.773199,0.578516
0.90506,0.629606
0.713546,0.924876
0.65095,0.976666
0.899732,0.777614
0.747909,0.936027
0.995904,0.629595
0.987876,0.908221
0.995369,0.733485
0.691395,0.914432
0.965257,0.619081
0.929369,0.984183
0.953415,0.648944
0.943339,0.986736
0.923796,0.61038
0.891684,0.99972
0.762916,0.580534
0.992546,0.735059
0.533009,0.894107
0.879265,0.840547
0.91853,0.962074
0.79471,0.663299
0.628548,0.877607
0.912823,0.998346
0.895119,0.97469
0.743017,0.810729
0.977696,0.887811
0.580363,0.777788
0.821879,0.904019
0.957767,0.858675
0.976412,0.632772
0.794831,0.28538
0.778805,0.883813
0.829694,0.942617
0.465114,0.892126
0.855333,0.96333
0.660917,0.654168
0.969087,0.849538
0.775423,0.469861
0.633316,0.886122
0.563154,0.802896
0.811914,0.936273
0.590813,0.937221
0.659559,0.948131
0.946007,0.924838
0.881133,0.931699
0.967067,0.765543
0.834106,0.909916
0.789129,0.925845
0.944483,0.73038
0.752073,0.314846
0.548275,0.90036
0.813428,0.976078
0.886179,0.975998
0.462433,0.707321
0.711031,0.831642
0.587687,0.884372
0.873874,0.719439
0.725515,0.966685
0.748734,0.797916
0.467953,0.827081
0.482798,0.504247
0.774464,0.956419
0.714446,0.892555
0.707152,0.983367
0.948621,0.782384
0.802835,0.794923
0.313905,0.999651
0.488785,0.968766
0.603945,0.989758
0.294982,0.927342
0.951712,0.689229
0.904438,0.734489
0.83105,0.887547
0.937285,0.999313
0.993155,0.970991
0.584111,0.911664
0.669318,0.96697
0.922091,0.848216
0.745793,0.782088
0.986133,0.884449
0.684274,0.996194
0.751891,0.814204
0.842739,0.569711
0.979227,0.859032
0.792214,0.885414
0.572212,0.72785
0.612241,0.458324
0.977393,0.963244
0.841255,0.901189
0.96472,0.996316
0.992008,0.939801
0.702928,0.827933
0.794602,0.7399
0.817745,0.817276
0.879675,0.942422
0.964682,0.787541
0.772053,0.830411
0.781689,0.965536
0.695003,0.977402
0.890004,0.952295
0.959323,0.534248
0.847873,0.954289
0.800666,0.732603
0.638129,0.808166
0.530525,0.735434
0.873608,0.822839
0.776405,0.669116
0.915533,0.930565
0.808394,0.927614
0.753081,0.623278
0.773821,0.89496
0.952314,0.930015
0.925573,0.896378
0.924463,0.572867
0.949495,0.991438
0.768076,0.883282
0.819131,0.838594
0.499886,0.640529
0.991654,0.959521
0.783678,0.791506
0.939873,0.798145
0.87423,0.948749
0.859863,0.825081
0.759162,0.829627
0.642443,0.965465
0.693268,0.640278
0.920629,0.974735
0.745267,0.61441
0.857623,0.940048
0.802705,0.641495
0.876349,0.967062
0.582137,0.617275
0.677849,0.563165
0.779464,0.788495
0.927991,0.817911
0.743229,0.834092
0.948607,0.828384
0.837376,0.768419
0.958308,0.97312
0.623755,0.885502
0.522043,0.893937
0.806341,0.845676
0.77636,0.670283
0.90336,0.941532
0.777578,0.902632
0.437633,0.938111
0.892578,0.902685
0.736302,0.984309
0.897613,0.786239
0.830371,0.996714
0.385226,0.987053
0.763337,0.731872
0.750427,0.859454
0.987959,0.668496
0.8618,0.764675
0.794762,0.935157
0.917845,0.882856
0.999132,0.84688
0.803959,0.883955
0.695602,0.949819
0.797743,0.878624
0.898256,0.937481
0.764547,0.909051
0.672532,0.531151
0.969393,0.793683
0.871726,0.889455
0.896986,0.614942
0.425069,0.847077
0.950448,0.875894
0.811813,0.801465
0.732422,0.721621
0.569415,0.987625
0.742985,0.580683
0.704906,0.996553
0.807775,0.961296
0.999756,0.989389
0.508627,0.969513
0.548059,0.87074
0.488389,0.625923
0.9956,0.953022
0.869846,0.668895
0.658991,0.846001
0.903044,0.634042
0.763112,0.714278
0.64667,0.959401
0.739962,0.942427
0.900231,0.695584
0.958844,0.950363
0.463156,0.845329
0.873929,0.936562
0.96998,0.70899
0.724508,0.774614
0.896857,0.897666
0.630542,0.753786
0.665807,0.985656
0.918913,0.814126
0.892464,0.551699
0.518673,0.735993
0.843646,0.997678
0.96967,0.968893
0.999278,0.941429
0.676277,0.866192
0.828642,0.702254
0.819102,0.972704
0.764829,0.642835
0.735669,0.951903
0.515714,0.803783
0.869916,0.882991
0.778656,0.714604
0.898425,0.906538
0.68885,0.967529
0.565265,0.850895
0.961187,0.999958
0.898351,0.920987
0.682715,0.752238
0.950806,0.640233
0.400464,0.790912
0.984552,0.93964
0.811356,0.708754
0.39069,0.638522
0.729282,0.923195
0.754303,0.928056
0.823267,0.862229
0.732236,0.911892
0.602505,0.905605
0.634639,0.844752
0.956803,0.882148
0.984403,0.971802
0.707897,0.953206
0.94554,0.640183
0.951862,0.944423
0.603612,0.970132
0.957795,0.787461
0.985705,0.620647
0.642036,0.845563
0.717014,0.905548
0.985626,0.831772
0.986349,0.851137
0.873294,0.997525
0.604728,0.777068
0.831953,0.71989
0.843423,0.899751
0.526071,0.643927
0.191806,0.656272
0.97787,0.946673
0.593601,0.709407
0.759394,0.89285
0.730751,0.852205
0.967056,0.929734
0.987512,0.958225
0.897237,0.973085
0.982052,0.985329
0.69247,0.950285
0.959427,0.980659
0.760557,0.773003
0.973846,0.892075
0.802551,0.876563
0.886658,0.9202
0.823436,0.837658
0.934854,0.975238
0.91563,0.887723
0.916374,0.677347
0.611284,0.788793
0.821703,0.678642
0.881264,0.646271
0.890048,0.989845
0.847427,0.850164
0.595646,0.999628
0.802209,0.507985
0.928099,0.685291
0.917628,0.840327
0.905268,0.917547
0.741253,0.822498
0.790961,0.97972
0.65337,0.549408
0.93878,0.654288
0.793701,0.982391
0.9978,0.965915
0.904746,0.979682
0.671073,0.816142
0.779838,0.817495
0.731769,0.638178
0.625347,0.993827
0.850096,0.676497
0.982873,0.835825
0.500689,0.968956
0.839503,0.901289
0.932669,0.471651
0.984398,0.844414
0.952589,0.862966
0.746646,0.59091
0.522315,0.886217
0.590666,0.562371
0.905502,0.786752
0.965293,0.757253
0.634345,0.737492
0.821672,0.990066
0.982716,0.980698
0.969284,0.81384
0.7361,0.891584
0.96926,0.832496
0.924831,0.998289
0.947307,0.959897
0.931625,0.956346
0.814668,0.662555
0.566848,0.823173
0.50072,0.734242
0.727301,0.630969
0.84425,0.944682
0.995547,0.708511
0.835242,0.965813
0.709101,0.985589
0.78723,0.742803
0.827525,0.930726
0.765059,0.88748
0.98873,0.882781
0.771396,0.329591
0.913195,0.946951
0.98183,0.803886
0.992163,0.931357
0.860023,0.864844
0.719479,0.601363
0.866341,0.952435
0.721664,0.670509
0.922518,0.616891
0.731067,0.886848
0.564297,0.648425
0.909355,0.402699
0.963858,0.968435
0.688497,0.717591
0.926867,0.936316
0.700159,0.851874
0.949451,0.882888
0.781587,0.992454
0.970718,0.773847
0.991543,0.889771
0.963796,0.656212
0.826822,0.987696
0.981096,0.823745
0.611668,0.484112
0.687147,0.848579
0.933183,0.883894
0.657864,0.533117
0.955156,0.969978
0.888053,0.887258
0.987844,0.862799
0.84505,0.998384
0.545859,0.754709
0.83495,0.88282
0.525529,0.472937
0.962578,0.809064
0.861945,0.900472
0.901666,0.978287
0.930467,0.921293
0.765724,0.507257
0.811748,0.906287
0.880722,0.457873
0.955808,0.334879
0.998642,0.979747
0.682571,0.971751
0.781695,0.994287
0.776273,0.768663
0.952666,0.769868
0.567086,0.894656
0.808412,0.740779
0.653281,0.914121
0.68175,0.979564
0.367646,0.858593
0.386535,0.96527
0.56747,0.880311
0.84856,0.77589
0.39173,0.390418
0.926481,0.678891
0.881964,0.665176
0.739592,0.754139
0.964983,0.848405
0.714965,0.924411
0.842935,0.894199
0.857242,0.939199
0.860676,0.964751
0.986951,0.839912
0.998236,0.786558
0.795297,0.809236
0.848766,0.984762
0.931877,0.553374
0.874773,0.99606
0.549199,0.988891
0.942431,0.766918
0.901109,0.896639
0.995237,0.461501
0.957658,0.96962
0.519211,0.838012
0.938366,0.840409
0.852269,0.645869
0.913314,0.779985
0.8935,0.980999
0.798232,0.860809
0.963822,0.549681
0.947665,0.83728
0.840822,0.766313
0.910342,0.91185
0.71793,0.740893
0.677492,0.853789
0.83838,0.777172
0.465391,0.749213
0.838536,0.961175
0.786766,0.425626
0.893154,0.585545
0.982384,0.981905
0.99439,0.815714
0.988871,0.660385
0.842489,0.876282
0.605748,0.62071
0.350763,0.908811
0.808833,0.975938
0.935543,0.478958
0.785628,0.623449
0.876819,0.884976
0.497472,0.916873
0.941234,0.960086
0.784888,0.947476
0.347353,0.716311
0.942136,0.956377
0.456141,0.987257
0.498295,0.681296
0.592778,0.925427
0.969903,0.612266
0.851411,0.882183
0.614324,0.438136
0.482175,0.995517
0.761097,0.693732
0.637481,0.844917
0.926873,0.884389
0.966829,0.93146
0.978662,0.974625
0.792325,0.866844
0.673487,0.835904
0.80408,0.712907
0.635306,0.97194
0.998641,0.726463
0.978336,0.906202
0.819379,0.82188
0.343004,0.947136
0.575367,0.695891
0.700312,0.898841
0.88768,0.809827
0.926889,0.731865
0.992995,0.924602
0.966449,0.43713
0.704229,0.895753
0.524274,0.698766
0.789799,0.79218
0.764701,0.942281
0.974141,0.512333
0.869727,0.795873
0.977326,0.543906
0.914182,0.610615
0.837505,0.615957
0.914706,0.859288
0.72349,0.852765
0.962477,0.85805
0.89711,0.792347
0.850741,0.938658
0.992619,0.807918
0.840628,0.970439
0.913569,0.917081
0.908733,0.660782
0.895754,0.940558
0.744641,0.967017
0.961867,0.846845
0.565127,0.969232
0.77406,0.786898
0.738337,0.810903
0.779078,0.935194
0.917627,0.897781
0.791759,0.96921
0.958528,0.847852
0.723372,0.880779
0.671875,0.777363
0.612529,0.821176
0.974276,0.96392
0.576832,0.965997
0.984042,0.989643
0.744754,0.756286
0.925493,0.919385
0.347062,0.959227
0.755494,0.912358
0.772013,0.878854
0.84732,0.911178
0.839478,0.629244
0.985167,0.735964
0.947155,0.709352
0.99151,0.793357
0.551928,0.390702
0.830553,0.772027
0.901738,0.664736
0.84402,0.596012
0.852559,0.945316
0.756795,0.738181
0.750647,0.926188
0.989408,0.665091
0.840914,0.789387
0.935706,0.916833
0.95909,0.717397
0.8123,0.891472
0.894199,0.792518
0.440404,0.908446
0.932221,0.88186
0.762775,0.998282
0.670984,0.829115
0.890589,0.803364
0.928272,0.866161
0.794572,0.902869
0.992403,0.795108
0.802428,0.791379
0.98246,0.714269
0.893446,0.917479
0.776919,0.811119
0.933669,0.978528
0.658577,0.941196
0.719094,0.858593
0.834329,0.85432
0.854654,0.775222
0.748956,0.879777
0.884081,0.939521
0.971609,0.779928
0.818838,0.989003
0.913248,0.985924
0.930159,0.821597
0.45018,0.837203
0.997714,0.846352
0.85681,0.53781
0.966311,0.945171
0.844858,0.870179
0.867428,0.907307
0.843745,0.774575
0.66592,0.6129
0.968648,0.804777
0.931431,0.960258
0.660314,0.888695
0.658321,0.917714
0.817442,0.830012
0.288516,0.702012
0.80486,0.969659
0.578227,0.88333
0.828754,0.685213
0.798091,0.903332
0.859281,0.783409
0.504966,0.946092
0.949848,0.853947
0.860459,0.943231
0.700029,0.567781
0.848867,0.910549
0.986864,0.935984
0.916391,0.781746
0.815112,0.823358
0.636125,0.802086
0.933413,0.967136
0.89586,0.834897
0.919756,0.616545
0.757255,0.724316
0.652798,0.725327
0.954743,0.891588
0.999551,0.719151
0.851863,0.939326
0.859027,0.86216
0.803612,0.871983
0.765833,0.950696
0.846464,0.822177
0.935034,0.633918
0.843211,0.976535
0.518288,0.679902
0.526953,0.86362
0.653152,0.968682
0.487031,0.924199
0.698456,0.418029
0.695806,0.941171
0.493447,0.895041
0.749776,0.809959
0.897634,0.994507
0.814887,0.904106
0.911394,0.91928
0.733262,0.931933
0.722352,0.8892
0.692518,0.934047
0.859072,0.925525
0.9465,0.873109
0.837526,0.885458
0.849237,0.99781
0.978383,0.953856
0.633841,0.782353
0.507979,0.963027
0.93339,0.735127
0.992014,0.985376
0.850922,0.872116
0.692698,0.964478
0.980587,0.706031
0.815382,0.652872
0.509478,0.867637
0.839348,0.654764
0.888833,0.566266
0.977065,0.894275
0.983748,0.920541
0.821696,0.844962
0.258725,0.983692
0.621056,0.803929
0.99572,0.554805
0.843387,0.694168
0.960172,0.500522
0.474955,0.520849
0.875518,0.660941
0.859657,0.626694
0.669234,0.989241
0.957521,0.800808
0.748059,0.408551
0.968337,0.853553
0.976402,0.867886
0.513496,0.683477
0.464,0.636292
0.656148,0.82188
0.968592,0.831755
0.613178,0.949511
0.938392,0.994837
0.62198,0.894243
0.917244,0.751647
0.619028,0.96872
0.63742,0.570568
0.843605,0.929593
0.743305,0.808662
0.880697,0.928115
0.857489,0.854774
0.986822,0.984889
0.878138,0.859684
0.913174,0.814608
0.586624,0.668097
0.755311,0.982782
0.667817,0.91621
0.970094,0.960565
0.781802,0.940072
0.9974,0.859548
0.757987,0.819845
0.78385,0.932847
0.613577,0.977835
0.967839,0.894304
0.851596,0.603755
0.954681,0.640823
0.719643,0.848394
0.785343,0.900479
0.941315,0.593209
0.909277,0.97364
0.989561,0.946248
0.865731,0.91455
0.821009,0.447717
0.951053,0.720644
0.904532,0.542762
0.709981,0.853686
0.946376,0.992404
0.593738,0.830381
0.920657,0.920796
0.763698,0.58241
0.99046,0.9904
0.709757,0.809739
0.479902,0.865074
0.603415,0.930418
0.805253,0.701898
0.915794,0.850753
0.702535,0.806261
0.552356,0.809865
0.836935,0.928626
0.922684,0.683948
0.69747,0.768033
0.972167,0.981736
0.985705,0.679978
0.854128,0.722906
0.841772,0.915416
0.719951,0.915798
0.86605,0.853155
0.628525,0.849742
0.746302,0.670352
0.834434,0.884158
0.888541,0.680014
0.86789,0.938282
0.907983,0.625127
0.807316,0.923019
0.888079,0.952109
0.962985,0.822756
0.878326,0.808117
0.759887,0.897666
0.91038,0.755069
0.836586,0.985922
0.792693,0.998109
